
2024/06/06 (13:44:26) | ===> btop++ v.1.3.2
2024/06/06 (13:44:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/06 (13:44:26) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/06 (13:44:26) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/06 (13:44:26) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/06 (13:44:26) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/06 (13:44:26) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/06 (13:44:26) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/06 (13:44:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/06 (13:44:28) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/06 (13:44:29) | ===> btop++ v.1.3.2
2024/06/06 (13:44:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/06 (13:44:29) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/06 (13:44:29) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/06 (13:44:29) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/06 (13:44:29) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/06 (13:44:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/06 (13:44:29) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/06 (13:44:29) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/06 (13:44:32) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/06 (13:44:33) | ===> btop++ v.1.3.2
2024/06/06 (13:44:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/06 (13:44:33) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/06 (13:44:33) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/06 (13:44:33) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/06 (13:44:33) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/06 (13:44:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/06 (13:44:33) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/06 (13:44:33) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/06 (13:44:35) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/06 (13:56:23) | ===> btop++ v.1.3.2
2024/06/06 (13:56:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/06 (13:56:23) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/06 (13:56:23) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/06 (13:56:23) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/06 (13:56:23) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/06 (13:56:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/06 (13:56:23) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/06 (13:56:23) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/06 (13:56:25) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/06 (15:15:51) | ===> btop++ v.1.3.2
2024/06/06 (15:15:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/06 (15:15:51) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/06 (15:15:51) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/06 (15:15:51) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/06 (15:15:51) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/06 (15:15:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/06 (15:15:51) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/06 (15:15:51) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/06 (15:15:53) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/09 (08:50:36) | ===> btop++ v.1.3.2
2024/06/09 (08:50:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/09 (08:50:36) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/09 (08:50:36) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/09 (08:50:36) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/09 (08:50:36) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/09 (08:50:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/09 (08:50:36) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/09 (08:50:36) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/09 (08:50:38) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/18 (20:29:15) | ===> btop++ v.1.3.2
2024/06/18 (20:29:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/18 (20:29:15) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/18 (20:29:15) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/18 (20:29:15) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/18 (20:29:15) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/18 (20:29:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/18 (20:29:15) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/18 (20:29:15) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/18 (20:29:17) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/18 (20:31:50) | ===> btop++ v.1.3.2
2024/06/18 (20:31:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/18 (20:31:50) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/18 (20:31:50) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/18 (20:31:50) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/18 (20:31:50) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/18 (20:31:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/18 (20:31:50) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/18 (20:31:50) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/18 (20:31:52) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/18 (20:31:52) | ===> btop++ v.1.3.2
2024/06/18 (20:31:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/18 (20:31:52) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/18 (20:31:52) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/18 (20:31:52) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/18 (20:31:52) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/18 (20:31:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/18 (20:31:52) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/18 (20:31:52) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/18 (20:31:55) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at
